date,Open,High,Low,Close,Adj Close,Volume,,Label
19-11-2012,19.311071,20.267857,19.281429,20.204643,17.233767,823317600,,1
20-11-2012,20.425358,20.426786,19.806429,20.032499,17.086939,642754000,,0
21-11-2012,20.151787,20.263214,19.878571,20.060715,17.111006,373002000,,0
23-11-2012,20.256071,20.428572,20.092857,20.410713,17.409536,272826400,,1
26-11-2012,20.567858,21.071428,20.489643,21.054644,17.958782,630579600,,1
27-11-2012,21.055357,21.08643,20.717857,20.885,17.814081,533330000,,0
28-11-2012,20.616785,20.921429,20.437857,20.819286,17.758034,520864400,,1
29-11-2012,21.079287,21.223213,20.901787,21.048571,17.953606,514698800,,0
30-11-2012,20.956785,21.014286,20.809999,20.902857,17.829315,391319600,,0
03-12-2012,21.201786,21.235357,20.910713,20.935356,17.857035,364280000,,0
04-12-2012,20.77857,20.77857,20.433214,20.566071,17.542051,557068400,,0
05-12-2012,20.318214,20.330357,19.241785,19.2425,16.413097,1044638000,,0
06-12-2012,18.890715,19.76107,18.522499,19.544287,16.670509,1177212400,,1
07-12-2012,19.764286,19.828571,18.928572,19.044643,16.244337,787040800,,0
10-12-2012,18.75,19.2325,18.627857,18.922144,16.139854,630484400,,1
11-12-2012,19.2775,19.627144,19.191786,19.335358,16.492298,592345600,,1
12-12-2012,19.563213,19.571428,19.1525,19.25,16.419497,487144000,,0
13-12-2012,18.969643,19.201429,18.77857,18.9175,16.13588,625259600,,0
14-12-2012,18.383928,18.504642,18.056429,18.206785,15.529671,1009579200,,0
17-12-2012,18.176071,18.571428,17.901072,18.529642,15.805064,757607200,,1
18-12-2012,18.75,19.103571,18.580357,19.067858,16.264133,625685200,,1
19-12-2012,18.981071,19.060715,18.767857,18.796785,16.032917,449369200,,0
20-12-2012,18.928572,18.935715,18.531429,18.633215,15.893398,481689600,,0
21-12-2012,18.3025,18.559643,18.222857,18.547501,15.820289,596268400,,1
24-12-2012,18.583929,18.723213,18.525356,18.577499,15.845879,175753200,,0
26-12-2012,18.535713,18.552143,18.254286,18.321428,15.627461,302436400,,0
27-12-2012,18.340714,18.4375,18.023571,18.395,15.690211,455120400,,1
28-12-2012,18.224644,18.374287,18.147142,18.199642,15.523581,354278400,,0
31-12-2012,18.233213,19.121429,18.178572,19.006071,16.211435,659492400,,1
02-01-2013,19.779285,19.821428,19.343929,19.608213,16.725035,560518000,,0
03-01-2013,19.567142,19.631071,19.321428,19.360714,16.513933,352965200,,0
04-01-2013,19.1775,19.236786,18.779642,18.821428,16.053942,594333600,,0
07-01-2013,18.642857,18.90357,18.4,18.710714,15.959502,484156400,,1
08-01-2013,18.900356,18.996071,18.616072,18.76107,16.00246,458707200,,0
09-01-2013,18.660713,18.750357,18.428213,18.467857,15.752357,407604400,,0
10-01-2013,18.876785,18.882856,18.411428,18.696787,15.947626,601146000,,0
11-01-2013,18.607143,18.761429,18.536428,18.582144,15.849842,350506800,,0
14-01-2013,17.952856,18.125,17.803928,17.919643,15.284757,734207600,,0
15-01-2013,17.796429,17.821072,17.263571,17.354286,14.802527,876772400,,0
16-01-2013,17.665714,18.194286,17.589287,18.074642,15.416962,690804800,,1
17-01-2013,18.225357,18.241072,17.929644,17.952856,15.313082,453678400,,0
18-01-2013,17.804285,17.936428,17.728571,17.857143,15.231446,472922800,,1
22-01-2013,18.02,18.138571,17.736786,18.0275,15.376749,461546400,,1
23-01-2013,18.171785,18.3925,18.0275,18.3575,15.658232,861509600,,1
24-01-2013,16.428572,16.633215,16.080357,16.089287,13.723529,1460852400,,0
25-01-2013,16.131786,16.293928,15.535714,15.71,13.400014,1208026400,,0
28-01-2013,15.636786,16.186071,15.566429,16.065357,13.703118,785517600,,1
29-01-2013,16.375,16.435715,16.147142,16.366785,13.960228,571158000,,0
30-01-2013,16.321428,16.521429,16.232143,16.315357,13.916363,417155200,,0
31-01-2013,16.320715,16.402857,16.249287,16.2675,13.875539,319334400,,0
01-02-2013,16.396786,16.41,16.012501,16.200714,13.818575,539484400,,0
04-02-2013,16.211071,16.283571,15.785714,15.797143,13.474342,477117200,,0
05-02-2013,15.858929,16.419287,15.793571,16.351429,13.947125,573347600,,1
06-02-2013,16.3025,16.660713,16.16357,16.333929,13.932199,593706400,,1
07-02-2013,16.544643,16.785713,16.218571,16.722143,14.346458,704580800,,1
08-02-2013,16.928572,17.100357,16.723213,16.963572,14.553592,633158400,,1
11-02-2013,17.017857,17.319286,16.901787,17.140356,14.705254,517490400,,1
12-02-2013,17.125357,17.227858,16.705,16.710714,14.336656,609053200,,0
13-02-2013,16.686071,16.915714,16.543571,16.678928,14.309384,475207600,,0
14-02-2013,16.59,16.844286,16.572144,16.663929,14.296516,355275200,,1
15-02-2013,16.744642,16.79143,16.425714,16.434286,14.099498,391745200,,0
19-02-2013,16.467857,16.526072,16.208929,16.428213,14.094287,435783600,,0
20-02-2013,16.346071,16.346071,16.02857,16.030357,13.752954,476302400,,0
21-02-2013,15.928571,16.041786,15.815,15.930714,13.667467,447182400,,1
22-02-2013,16.044643,16.128571,15.95,16.100357,13.813009,330654800,,1
25-02-2013,16.208929,16.254286,15.806071,15.814286,13.567581,372579200,,0
26-02-2013,15.850714,16.126429,15.630714,16.034643,13.756633,501499600,,1
27-02-2013,16.015356,16.158571,15.7375,15.8775,13.621811,587350400,,0
28-02-2013,15.858929,15.995357,15.764286,15.764286,13.524686,322515200,,0
01-03-2013,15.642857,15.649286,15.356429,15.373929,13.18978,552448400,,0
04-03-2013,15.278571,15.292857,14.964286,15.001786,12.870509,582755600,,0
05-03-2013,15.052857,15.5425,15.026786,15.397857,13.210313,638433600,,1
06-03-2013,15.518214,15.544643,15.158214,15.202143,13.042402,460250000,,0
07-03-2013,15.160714,15.428929,15.037857,15.377857,13.193151,468473600,,1
08-03-2013,15.35,15.551071,15.3075,15.418571,13.228083,391482000,,1
11-03-2013,15.348214,15.678929,15.183571,15.638214,13.416524,474236000,,1
12-03-2013,15.557143,15.674286,15.270357,15.301071,13.12728,465911600,,0
13-03-2013,15.301786,15.517857,15.191429,15.298214,13.124825,405549200,,0
14-03-2013,15.458214,15.522857,15.373214,15.446429,13.251983,303875600,,0
15-03-2013,15.640357,15.865357,15.616071,15.845,13.59393,643960800,,1
18-03-2013,15.766071,16.337856,15.757143,16.275715,13.963456,606197200,,1
19-03-2013,16.410713,16.463215,16.017857,16.231787,13.925768,526775200,,0
20-03-2013,16.33643,16.343929,16.056786,16.145714,13.851921,308660800,,0
21-03-2013,16.079287,16.356428,16.075001,16.168928,13.871839,383255600,,1
