,Open_x,Close,Predicted_Label
0,178.0,176.449997,0
1,139.130005,139.630005,1
2,211.789993,214.220001,1
3,364.619995,370.160004,1
4,131.75,133.470001,1
5,352.619995,359.0,1
6,331.820007,332.859985,1
7,225.070007,214.130005,0
8,199.490005,201.139999,1
9,231.970001,235.779999,1
10,178.479996,177.399994,1
11,148.300003,148.449997,0
12,199.25,199.440002,1
13,179.419998,182.350006,1
14,128.25,127.910004,0
15,257.209991,255.169998,1
16,359.459991,358.880005,0
17,173.190002,170.210007,0
18,203.139999,200.839996,0
19,176.169998,171.830002,1
20,337.730011,351.01001,0
21,206.25,203.869995,0
22,123.139999,121.080002,1
23,190.039993,196.0,1
24,205.800003,212.679993,1
25,213.240005,211.449997,0
26,408.100006,403.950012,0
27,352.950012,356.940002,0
28,255.309998,252.580002,0
29,350.149994,347.899994,0
30,127.209999,128.770004,0
31,127.370003,124.669998,0
32,188.850006,186.729996,1
33,214.199997,214.119995,0
34,341.700012,344.549988,0
35,158.940002,157.839996,0
36,203.240005,211.529999,1
37,236.119995,238.690002,1
38,233.690002,231.630005,1
39,139.0,145.979996,1
40,237.789993,237.350006,1
41,346.630005,346.059998,1
42,221.080002,224.990005,1
43,165.0,163.809998,0
44,347.640015,344.420013,1
45,157.100006,173.160004,1
46,222.139999,216.740005,0
47,348.0,329.660004,0
48,146.770004,143.289993,1
49,383.25,386.410004,1
50,153.880005,154.5,1
51,191.110001,187.130005,1
52,130.919998,128.910004,1
53,206.149994,209.429993,1
54,329.5,324.190002,0
55,255.279999,258.890015,1
56,253.860001,269.190002,1
57,274.149994,265.630005,0
58,356.0,353.799988,0
59,348.769989,349.380005,1
60,203.899994,206.690002,1
61,375.75,379.640015,1
62,116.910004,117.57,1
63,322.450012,318.75,0
64,215.490005,216.169998,1
65,128.199997,127.040001,0
66,259.720001,259.269989,0
67,153.240005,152.160004,0
68,197.570007,199.210007,1
69,136.699997,137.360001,0
70,205.399994,204.479996,1
71,234.029999,232.880005,0
72,206.800003,206.229996,0
73,133.300003,132.979996,1
74,183.330002,183.070007,1
75,152.389999,152.389999,1
76,208.809998,205.059998,0
77,211.0,211.570007,1
78,210.809998,209.5,1
79,109.730003,112.599998,1
80,207.5,206.600006,1
81,223.0,222.639999,1
82,240.990005,240.460007,0
83,131.479996,128.580002,0
84,352.649994,354.519989,1
85,198.979996,200.940002,1
86,197.880005,199.080002,1
87,188.240005,184.240005,0
88,129.970001,128.679993,1
89,141.919998,142.199997,1
90,338.119995,338.299988,1
91,145.830002,143.309998,0
92,230.0,228.580002,0
93,175.949997,180.350006,1
94,215.830002,211.270004,0
95,204.509995,206.779999,1
96,346.51001,352.609985,1
97,253.699997,262.329987,1
98,213.009995,223.850006,1
99,234.050003,231.570007,0
100,334.619995,328.0,0
101,366.329987,357.230011,0
102,256.119995,255.759995,0
103,143.990005,143.380005,1
104,213.830002,212.770004,1
105,176.429993,179.789993,0
106,214.119995,211.919998,1
107,163.589996,167.360001,0
108,187.820007,190.229996,0
109,168.419998,169.300003,1
110,229.300003,229.809998,0
111,200.009995,202.770004,1
112,200.0,198.149994,1
113,367.5,365.029999,0
114,204.0,200.0,1
115,195.279999,195.429993,1
116,177.080002,176.649994,0
117,139.440002,140.289993,0
118,133.009995,133.449997,1
119,349.51001,348.730011,0
120,227.369995,233.089996,1
121,205.0,198.740005,0
122,131.699997,133.360001,1
123,118.800003,121.870003,1
124,201.350006,201.050003,0
125,208.369995,207.289993,1
126,173.119995,177.610001,1
127,182.309998,181.710007,1
128,217.699997,224.460007,1
129,136.300003,139.639999,0
130,178.0,178.880005,0
131,350.700012,340.160004,0
132,334.559998,339.559998,1
133,320.149994,321.0,1
134,295.75,296.839996,0
135,210.0,216.979996,1
136,146.899994,145.979996,0
137,141.110001,147.149994,1
138,130.0,125.489998,0
139,167.699997,168.5,1
140,139.169998,136.75,1
141,232.820007,230.330002,0
142,140.850006,140.009995,0
143,237.600006,240.229996,0
144,123.349998,124.269997,0
145,134.830002,134.419998,1
146,141.160004,143.839996,1
147,149.610001,149.740005,1
148,205.610001,205.610001,1
149,186.160004,186.289993,1
150,357.980011,358.779999,0
151,368.73999,382.940002,1
152,333.25,322.029999,0
153,238.009995,234.309998,0
154,151.669998,154.139999,1
155,180.990005,182.529999,1
156,374.059998,376.540009,1
157,137.929993,139.970001,1
158,174.649994,171.820007,0
159,226.800003,227.220001,0
160,134.490005,133.990005,0
161,212.919998,218.759995,1
162,261.320007,256.059998,1
163,161.119995,156.089996,0
164,118.910004,120.290001,0
165,201.320007,199.270004,1
166,332.700012,329.920013,0
167,169.210007,167.699997,0
168,240.360001,239.729996,1
169,269.480011,269.299988,0
170,376.0,374.959991,1
171,163.710007,164.610001,1
172,170.0,169.820007,0
173,369.399994,372.230011,0
174,161.800003,158.160004,1
175,146.330002,144.429993,0
176,179.050003,180.080002,1
177,145.300003,145.850006,0
178,265.950012,262.019989,0
179,133.199997,137.080002,0
180,219.449997,218.169998,0
181,356.119995,357.309998,1
182,325.070007,317.320007,0
183,123.07,122.040001,0
184,179.440002,181.029999,1
185,209.279999,208.110001,1
186,159.0,158.320007,0
187,131.720001,132.210007,0
188,207.910004,205.119995,0
189,145.410004,145.619995,0
190,158.580002,160.550003,1
191,188.779999,190.570007,0
192,222.509995,217.309998,0
193,359.279999,355.959991,0
194,126.510002,126.889999,0
195,350.350006,346.899994,0
196,214.020004,218.449997,1
197,263.23999,266.0,1
198,348.200012,350.359985,0
199,187.410004,187.320007,0
200,155.240005,155.919998,1
201,178.130005,177.970001,0
202,237.059998,238.25,0
203,237.380005,235.589996,0
204,123.629997,122.559998,0
205,141.5,143.029999,1
206,194.210007,192.490005,0
207,200.25,210.050003,1
208,216.5,218.270004,1
209,176.5,164.330002,0
210,153.169998,151.630005,1
211,132.199997,132.539993,0
212,126.239998,128.210007,0
213,210.25,208.509995,1
214,209.350006,210.649994,1
215,130.940002,129.580002,1
216,159.539993,159.399994,1
217,132.25,136.800003,1
218,148.190002,147.970001,0
219,130.169998,130.570007,0
220,144.940002,145.429993,0
221,265.380005,265.579987,0
222,229.389999,226.479996,0
223,213.139999,211.160004,1
224,212.0,213.899994,0
225,140.759995,140.020004,1
226,182.899994,183.940002,1
227,236.899994,237.330002,0
228,213.600006,215.649994,1
229,213.889999,211.800003,1
230,161.949997,167.460007,1
231,129.380005,130.229996,0
232,226.679993,229.940002,1
233,286.209991,283.160004,0
234,383.709991,375.630005,0
235,343.170013,329.059998,0
236,218.470001,213.580002,0
237,144.5,143.0,0
238,134.169998,134.330002,0
239,209.059998,209.380005,1
240,211.320007,211.169998,1
241,127.339996,127.110001,0
242,236.520004,238.039993,1
243,194.559998,202.399994,1
244,168.350006,167.5,1
245,169.740005,170.809998,1
246,217.5,216.050003,0
247,216.360001,216.669998,1
248,362.859985,357.899994,0
249,133.880005,131.300003,0
250,201.639999,201.479996,1
251,215.839996,211.570007,0
252,131.699997,129.779999,0
253,367.540009,364.019989,0
254,233.809998,245.339996,1
255,219.619995,217.149994,0
256,180.339996,180.229996,0
257,279.01001,275.540009,0
258,201.210007,201.880005,1
259,183.460007,185.25,1
260,182.589996,183.220001,0
261,186.5,182.669998,0
262,157.949997,159.309998,1
263,135.029999,135.100006,1
264,173.199997,174.520004,1
265,127.18,128.220001,0
266,142.039993,142.289993,0
267,172.880005,175.320007,1
268,234.779999,236.889999,1
269,203.550003,203.369995,1
270,258.290009,258.5,1
271,360.5,354.369995,0
272,180.399994,178.720001,1
273,342.570007,344.619995,1
274,191.449997,191.830002,1
275,366.209991,372.070007,1
276,386.109985,387.429993,0
277,318.279999,317.940002,1
278,143.899994,144.949997,0
279,296.5,297.25,0
280,158.0,160.229996,1
281,213.0,213.589996,1
282,338.98999,329.279999,0
283,171.220001,167.350006,0
284,122.0,126.050003,1
285,387.100006,386.890015,1
286,251.720001,248.339996,1
287,199.869995,200.460007,1
288,163.589996,166.809998,1
289,205.869995,202.369995,1
290,139.0,137.339996,1
291,132.5,132.279999,0
292,135.419998,136.179993,1
293,203.270004,203.360001,0
294,208.789993,209.910004,1
295,119.169998,122.059998,1
296,182.139999,181.559998,0
297,176.289993,177.360001,1
298,210.149994,213.0,1
299,136.259995,137.199997,1
300,184.0,183.490005,0
301,181.899994,178.699997,0
302,211.0,210.779999,0
303,168.779999,178.270004,1
304,127.25,126.959999,0
305,182.529999,183.509995,1
306,128.740005,128.460007,0
307,142.789993,143.949997,1
308,325.459991,328.059998,1
309,188.240005,192.289993,1
310,213.610001,209.899994,1
311,211.350006,214.479996,1
312,190.729996,200.240005,1
313,204.0,206.270004,1
314,217.089996,217.449997,1
315,195.179993,203.639999,1
316,210.889999,215.020004,1
317,341.230011,340.820007,0
318,174.729996,175.080002,1
319,128.770004,120.699997,0
320,162.279999,165.419998,1
321,212.710007,211.410004,1
322,212.850006,206.610001,0
323,182.729996,182.699997,1
324,379.5,377.690002,0
325,332.299988,329.980011,0
326,355.200012,344.190002,0
327,377.519989,380.070007,0
