date,Open,High,Low,Close,Adj Close,Volume,,Label
28-06-2017,150.919998,153.470001,149.860001,153.240005,153.077591,16719100,,1
29-06-2017,152.279999,152.5,148.919998,151.039993,150.879913,23973500,,0
30-06-2017,151.899994,151.919998,150.059998,150.979996,150.819977,17666000,,0
03-07-2017,151.720001,152.149994,147.800003,148.429993,148.272675,13862700,,0
05-07-2017,149,150.850006,148.130005,150.339996,150.180649,14334300,,1
06-07-2017,149.029999,150.039993,148,148.820007,148.662277,14951800,,0
07-07-2017,149.25,151.990005,149.190002,151.440002,151.279495,13615900,,1
10-07-2017,151.690002,153.979996,151.509995,153.5,153.337311,13378700,,1
11-07-2017,153.369995,155.419998,152.910004,155.270004,155.105438,13667700,,1
12-07-2017,156.490005,159.160004,156.199997,158.899994,158.731583,22739400,,1
13-07-2017,158.740005,159.779999,158.419998,159.259995,159.091202,13929200,,1
14-07-2017,160.130005,160.320007,159.330002,159.970001,159.800446,16371200,,0
17-07-2017,160.25,160.779999,158.809998,159.729996,159.560699,12858800,,0
18-07-2017,159.660004,163.729996,159.419998,162.860001,162.687393,23722900,,1
19-07-2017,163.589996,165.699997,163.169998,164.139999,163.966034,26273600,,1
20-07-2017,164.800003,165,162.809998,164.529999,164.355621,18523100,,0
21-07-2017,164.160004,165.050003,163.75,164.429993,164.255722,14744000,,1
24-07-2017,164.639999,166.169998,164.309998,166,165.824051,17367000,,1
25-07-2017,165.009995,165.539993,163.860001,165.279999,165.104813,15383200,,1
26-07-2017,166.009995,166.009995,164.100006,165.610001,165.434479,35236900,,0
27-07-2017,174.699997,175.490005,167.5,170.440002,170.259354,68910700,,0
28-07-2017,169.070007,173.429993,169.050003,172.449997,172.267212,24557600,,1
31-07-2017,172,172.720001,168.550003,169.25,169.070618,25478900,,0
01-08-2017,169.820007,170.470001,169.050003,169.860001,169.679962,14385000,,1
02-08-2017,170.300003,170.550003,166.910004,169.300003,169.12056,17433800,,0
03-08-2017,169.300003,169.699997,168.25,168.589996,168.411316,10793800,,0
04-08-2017,168.970001,170.059998,168.690002,169.619995,169.440216,10777700,,1
07-08-2017,169.949997,172.059998,169.660004,171.979996,171.797714,12787800,,1
08-08-2017,171.880005,173.050003,170.619995,171.229996,171.048508,14393500,,0
09-08-2017,169.979996,171.449997,169.559998,171.179993,170.998566,10815000,,1
10-08-2017,170.059998,170.589996,166.850006,167.399994,167.222565,20832700,,0
11-08-2017,167.949997,168.820007,166.850006,168.080002,167.901855,13791200,,1
14-08-2017,170.089996,171.080002,169.289993,170.75,170.569031,12954200,,1
15-08-2017,171.490005,171.5,170.009995,171,170.818756,8729200,,0
16-08-2017,171.25,171.380005,169.240005,170,169.819824,15779900,,0
17-08-2017,169.339996,169.860001,166.850006,166.910004,166.733093,17216000,,0
18-08-2017,166.839996,168.669998,166.210007,167.410004,167.232574,15093600,,1
21-08-2017,167.160004,168,165.820007,167.779999,167.602173,11907500,,1
22-08-2017,168.279999,169.869995,167.149994,169.639999,169.460205,11391000,,1
23-08-2017,168.839996,169.360001,168.199997,168.710007,168.531189,9856500,,0
24-08-2017,168.880005,169.289993,166.410004,167.740005,167.562225,14030400,,0
25-08-2017,167.860001,168.380005,166.179993,166.320007,166.143723,12614500,,0
28-08-2017,166.910004,167.699997,166.330002,167.240005,167.062744,8553700,,1
29-08-2017,165.25,168.429993,165,168.050003,167.871887,11121000,,1
30-08-2017,168.169998,170.179993,167.630005,169.919998,169.739899,11138300,,1
31-08-2017,170.399994,172.149994,170.059998,171.970001,171.787735,17226500,,1
01-09-2017,172.399994,172.919998,171.309998,172.020004,171.837677,11677600,,0
05-09-2017,171.270004,172.389999,169.550003,170.720001,170.539063,13210900,,0
06-09-2017,170.910004,172.479996,169.570007,172.089996,171.907593,13906300,,1
07-09-2017,171.940002,173.309998,170.270004,173.210007,173.026428,18049500,,1
08-09-2017,173.089996,173.490005,170.800003,170.949997,170.768814,10998500,,0
11-09-2017,172.399994,173.889999,172.199997,173.509995,173.326096,12372000,,1
12-09-2017,173.759995,174,171.75,172.960007,172.776688,11186300,,0
13-09-2017,173.009995,173.169998,172.059998,173.050003,172.866592,9119300,,1
14-09-2017,172.259995,172.279999,170.5,170.960007,170.778809,15615700,,0
15-09-2017,170.880005,172.339996,170.259995,171.639999,171.458084,15660500,,1
18-09-2017,171.990005,172.070007,169.339996,170.009995,169.829803,12954000,,0
19-09-2017,170.619995,172.559998,170.360001,172.520004,172.337158,13168600,,1
20-09-2017,172.5,173.050003,170.699997,172.169998,171.987518,12264100,,0
21-09-2017,171.690002,172.270004,170.009995,171.110001,170.92865,11161400,,0
22-09-2017,170.210007,171.729996,169.220001,170.539993,170.359238,12097100,,1
25-09-2017,169.240005,169.300003,161.559998,162.869995,162.697372,41251600,,0
26-09-2017,164.5,165.5,162.779999,164.210007,164.035965,23363300,,0
27-09-2017,165.899994,168.339996,165.570007,167.679993,167.502274,19242500,,1
28-09-2017,167.940002,169.070007,167.160004,168.729996,168.551163,12178700,,1
29-09-2017,168.830002,171.660004,168.809998,170.869995,170.688889,15340400,,1
02-10-2017,171.389999,171.869995,168.75,169.470001,169.290375,13392300,,0
03-10-2017,169.300003,170.729996,169.199997,169.960007,169.779861,8190300,,1
04-10-2017,169.830002,170.669998,168.289993,168.419998,168.241486,12127900,,0
05-10-2017,169.179993,171.309998,168.600006,171.240005,171.058517,14580600,,1
06-10-2017,170.25,172.369995,169.75,172.229996,172.047455,13124500,,1
09-10-2017,172.699997,174.880005,172,172.5,172.317169,14570400,,0
10-10-2017,173,173.199997,170.800003,171.589996,171.408127,11341100,,0
11-10-2017,171.949997,172.779999,171.399994,172.740005,172.556915,11283700,,1
12-10-2017,172.610001,173.850006,172.289993,172.550003,172.367126,10351000,,0
13-10-2017,173.449997,174.649994,173.199997,173.740005,173.555862,13658300,,1
16-10-2017,174.490005,175,174.059998,174.520004,174.335037,11498800,,1
17-10-2017,174.710007,176.130005,174.360001,176.110001,175.92334,15990100,,1
18-10-2017,176.649994,176.740005,175.75,176.029999,175.84343,12752400,,0
19-10-2017,174.929993,176.029999,172.630005,174.559998,174.374985,14048400,,0
20-10-2017,175.5,175.880005,174.630005,174.979996,174.79454,12602200,,0
23-10-2017,175.199997,175.339996,171.25,171.270004,171.08847,13852700,,0
24-10-2017,172.300003,173.240005,171.5,171.800003,171.61792,12267900,,0
25-10-2017,171.899994,172.25,168.889999,170.600006,170.419189,15868200,,0
26-10-2017,171.380005,172.289993,170.389999,170.630005,170.449158,11833100,,0
27-10-2017,174.149994,178.210007,173.899994,177.880005,177.691467,30285300,,1
30-10-2017,179.259995,180.690002,177.610001,179.869995,179.679352,24353200,,1
31-10-2017,180.570007,180.800003,178.940002,180.059998,179.869156,20174200,,0
01-11-2017,182.360001,182.899994,180.570007,182.660004,182.4664,40918300,,1
02-11-2017,180.630005,181.940002,177.339996,178.919998,178.730362,35529900,,0
03-11-2017,179.289993,179.860001,176.710007,178.919998,178.730362,17822100,,0
06-11-2017,178.559998,180.449997,178.309998,180.169998,179.979034,13312700,,1
07-11-2017,180.5,180.75,178.960007,180.25,180.05896,12928200,,0
08-11-2017,179.789993,180.350006,179.110001,179.559998,179.36969,10494100,,0
09-11-2017,178.309998,179.399994,177.089996,179.300003,179.10997,12610300,,1
10-11-2017,178.350006,179.100006,177.960007,178.460007,178.270859,11070200,,1
13-11-2017,177.5,179.039993,177.300003,178.770004,178.580521,9523400,,1
14-11-2017,178.130005,178.970001,177.179993,178.070007,177.881271,9585900,,0
15-11-2017,176.660004,178.570007,176.399994,177.949997,177.761383,10253700,,1
16-11-2017,178.759995,179.830002,178.5,179.589996,179.399658,15607600,,1
17-11-2017,179.300003,179.979996,178.899994,179,178.810272,13018000,,0
20-11-2017,178.869995,179.5,178.100006,178.740005,178.550568,10052400,,0
21-11-2017,179.149994,181.889999,178.990005,181.860001,181.667252,14504000,,1
22-11-2017,181.300003,181.729996,180.440002,180.869995,180.678299,10376300,,0
24-11-2017,180.399994,183.149994,180.289993,182.779999,182.586273,9426300,,1
27-11-2017,182.559998,183.729996,181.990005,183.029999,182.836014,12344500,,1
28-11-2017,183.509995,184.25,182.089996,182.419998,182.226654,14379700,,0
29-11-2017,181.889999,181.970001,174,175.130005,174.944382,41933500,,0
30-11-2017,176.850006,178.279999,175.199997,177.179993,176.992203,25307600,,1
01-12-2017,176.029999,177.479996,172.339996,175.100006,174.914413,20182500,,0
04-12-2017,176.289993,176.570007,170.789993,171.470001,171.288269,24459400,,0
05-12-2017,170.449997,175.380005,169.009995,172.830002,172.64682,20184900,,1
06-12-2017,172.5,176.770004,171.899994,176.059998,175.873398,20255800,,1
