,Open_x,Close,Predicted_Label,Label
0,187.199997,188.649994,0,1
1,264.519989,264.450012,1,0
2,134.690002,131.740005,0,0
3,184.839996,185.300003,1,1
4,151.720001,148.429993,0,0
5,195.190002,195.759995,1,1
6,279.869995,278.619995,0,0
7,204.25,203.910004,1,0
8,171.899994,170.600006,1,0
9,200.0,192.240005,0,0
10,298.76001,301.130005,1,1
11,379.589996,382.049988,1,1
12,136.470001,137.419998,0,1
13,338.850006,346.179993,1,1
14,194.550003,192.729996,0,0
15,198.580002,197.509995,0,0
16,503.279999,512.190002,1,1
17,178.130005,178.070007,0,0
18,210.210007,212.889999,0,1
19,185.850006,183.089996,0,0
20,349.230011,344.459991,0,0
21,209.389999,206.160004,1,0
22,184.199997,183.279999,1,0
23,225.199997,225.089996,1,0
24,184.880005,184.320007,0,0
25,142.0,145.389999,1,1
26,332.48999,327.640015,0,0
27,193.0,195.0,1,1
28,194.699997,203.630005,1,1
29,116.029999,118.040001,1,1
30,186.929993,181.259995,0,0
31,178.800003,178.279999,0,0
32,194.970001,193.539993,0,0
33,176.300003,175.899994,0,0
34,195.789993,195.850006,1,1
35,182.729996,186.990005,1,1
36,343.019989,336.350006,0,0
37,260.820007,264.910004,1,1
38,152.029999,155.100006,1,1
39,168.970001,169.619995,1,1
40,166.029999,163.729996,1,0
41,186.009995,186.169998,0,1
42,344.980011,344.470001,1,0
43,190.0,182.339996,0,0
44,189.539993,187.660004,0,0
45,189.880005,189.5,0,0
46,213.470001,215.699997,1,1
47,207.850006,210.759995,1,1
48,181.929993,181.300003,1,0
49,331.089996,332.290009,0,1
50,184.75,185.179993,1,1
51,191.839996,193.279999,1,1
52,299.220001,297.890015,1,0
53,209.869995,203.490005,0,0
54,172.259995,170.960007,1,0
55,301.98999,302.649994,0,1
56,198.259995,204.929993,1,1
57,186.630005,180.949997,0,0
58,187.619995,187.119995,1,0
59,175.990005,177.460007,1,1
60,470.859985,477.48999,1,1
61,373.649994,367.459991,0,0
62,147.479996,149.009995,0,1
63,336.700012,333.679993,0,0
64,284.76001,286.980011,1,1
65,192.639999,187.610001,0,0
66,318.140015,319.779999,1,1
67,192.039993,190.279999,0,0
68,331.899994,336.769989,1,1
69,265.529999,261.399994,1,0
70,379.0,383.450012,1,1
71,167.940002,168.729996,1,1
72,499.5,505.519989,1,1
73,199.899994,202.0,1,1
74,328.950012,335.339996,1,1
75,232.639999,216.080002,0,0
76,181.009995,179.509995,0,0
77,162.600006,162.279999,1,0
78,172.610001,172.550003,1,0
79,165.440002,159.389999,0,0
80,186.130005,177.919998,1,0
81,203.889999,203.839996,0,0
82,179.259995,177.600006,1,0
83,313.579987,318.609985,1,1
84,170.210007,170.539993,1,1
85,131.679993,129.820007,0,0
86,380.160004,377.570007,0,0
87,164.580002,164.520004,0,0
88,226.070007,229.860001,1,1
89,180.5,180.25,1,0
90,217.880005,221.490005,1,1
91,173.789993,172.0,0,0
92,493.859985,502.600006,1,1
93,271.890015,270.390015,1,0
94,148.080002,148.240005,0,1
95,168.169998,169.919998,0,1
96,206.699997,216.490005,1,1
97,167.199997,169.350006,0,1
98,307.940002,305.73999,1,0
99,208.429993,201.910004,0,0
100,204.179993,201.800003,0,0
101,266.440002,269.450012,1,1
102,170.139999,174.199997,1,1
103,238.0,240.929993,1,1
104,234.970001,237.089996,1,1
105,203.440002,204.190002,1,1
106,219.600006,221.910004,0,1
107,354.559998,347.630005,0,0
108,177.869995,178.080002,1,1
109,232.240005,232.779999,1,1
110,217.539993,218.300003,1,1
111,258.279999,254.820007,0,0
112,307.299988,302.820007,0,0
113,178.059998,179.369995,0,1
114,179.949997,179.509995,1,0
115,428.600006,439.190002,1,1
116,194.259995,195.100006,1,1
117,165.600006,166.690002,0,1
118,156.270004,158.75,1,1
119,164.509995,162.5,0,0
120,272.0,273.160004,0,1
121,325.899994,330.350006,1,1
122,183.770004,184.490005,0,1
123,163.190002,163.949997,1,1
124,170.399994,171.970001,1,1
125,330.950012,334.48999,1,1
126,167.550003,168.839996,1,1
127,304.279999,303.570007,0,0
128,209.020004,202.970001,0,0
129,249.399994,254.820007,1,1
130,299.089996,302.660004,1,1
131,177.679993,181.419998,1,1
132,184.149994,180.179993,0,0
133,298.5,286.75,0,0
134,177.5,178.770004,0,1
135,356.269989,351.890015,0,0
136,203.380005,207.839996,0,1
137,163.25,162.0,0,0
138,163.589996,164.139999,0,1
139,196.699997,191.649994,0,0
140,206.529999,209.529999,1,1
141,203.429993,206.919998,1,1
142,187.039993,189.759995,1,1
143,238.619995,243.179993,0,1
144,178.869995,178.740005,1,0
145,221.610001,219.059998,0,0
146,329.480011,336.579987,1,1
147,277.179993,275.079987,0,0
148,297.839996,308.709991,1,1
149,187.979996,181.279999,0,0
150,301.440002,315.429993,1,1
151,341.609985,343.01001,1,1
152,183.690002,184.509995,1,1
153,172.300003,171.800003,0,0
154,439.559998,432.619995,0,0
155,146.009995,148.949997,1,1
156,277.679993,275.0,1,0
157,247.470001,245.639999,1,0
158,151.649994,153.029999,1,1
159,306.339996,313.089996,1,1
160,161.919998,160.580002,1,0
161,226.910004,223.300003,0,0
162,178.259995,177.75,0,0
163,187.869995,191.779999,1,1
164,130.699997,133.399994,1,1
165,251.550003,251.639999,0,1
166,336.179993,334.700012,0,0
167,381.5,375.279999,0,0
168,200.190002,199.75,0,0
169,270.200012,275.75,1,1
170,362.980011,358.450012,0,0
171,281.51001,288.730011,1,1
172,318.209991,324.630005,1,1
173,328.049988,333.73999,1,1
174,491.910004,496.980011,1,1
175,178.960007,180.889999,1,1
176,333.399994,338.98999,1,1
177,266.799988,268.100006,1,1
178,279.029999,283.25,1,1
179,143.899994,143.679993,1,0
180,228.5,237.550003,1,1
181,497.630005,496.089996,0,0
182,158.309998,160.190002,0,1
183,214.839996,214.0,0,0
184,330.48999,336.51001,1,1
185,216.139999,217.789993,0,1
186,136.050003,135.679993,1,0
187,326.779999,334.369995,1,1
188,325.779999,326.040009,1,1
189,169.759995,170.169998,0,1
190,175.529999,177.470001,1,1
191,151.75,151.529999,1,0
192,178.25,178.919998,1,1
193,189.889999,186.550003,1,0
194,137.029999,137.300003,1,1
195,130.880005,137.509995,1,1
196,199.520004,199.789993,1,1
197,358.100006,351.950012,0,0
198,279.559998,278.730011,1,0
199,195.389999,197.039993,0,1
200,475.0,473.230011,0,0
201,497.01001,483.589996,0,0
202,199.0,195.940002,1,0
203,324.600006,334.220001,1,1
204,345.579987,350.359985,0,1
205,316.779999,312.549988,0,0
206,309.929993,313.190002,1,1
207,142.949997,144.229996,1,1
208,181.529999,179.0,1,0
209,174.009995,170.240005,0,0
210,463.5,472.600006,1,1
211,325.0,330.559998,1,1
212,145.779999,146.089996,0,1
213,185.0,183.550003,1,0
214,489.01001,484.100006,0,0
